代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20241204,0.723833,0.724333,0.72,0.717124,0.007209,1.0053,-0.0005,温和多头排列,0.3
159766,20241203,0.7295,0.726733,0.719709,0.717438,0.009295,1.2956,0.002767,中等多头排列,0.6
159766,20241202,0.728,0.724267,0.717073,0.716643,0.007624,1.0638,0.003733,微弱多头排列,0.05
159766,20241129,0.7195,0.7168,0.712418,0.714929,0.001871,0.2617,0.0027,震荡排列,0.0
159766,20241128,0.716667,0.7126,0.710255,0.714495,-0.001895,-0.2652,0.004067,震荡排列,0.0
159766,20241127,0.7125,0.709,0.708509,0.714214,-0.005214,-0.73,0.0035,震荡排列,0.0
159766,20241126,0.7045,0.7052,0.706927,0.713824,-0.008624,-1.2081,-0.0007,中等空头排列,-0.6
159766,20241125,0.700833,0.704,0.707327,0.71411,-0.01011,-1.4157,-0.003167,中等空头排列,-0.6
159766,20241122,0.704,0.706067,0.710018,0.715252,-0.009185,-1.2842,-0.002067,中等空头排列,-0.6
159766,20241121,0.7125,0.711,0.714691,0.716952,-0.005952,-0.8302,0.0015,温和空头排列,-0.3
159766,20241120,0.711333,0.7102,0.717018,0.71691,-0.00671,-0.936,0.001133,震荡排列,0.0
159766,20241119,0.7075,0.7092,0.718873,0.71649,-0.00729,-1.0175,-0.0017,震荡排列,0.0
159766,20241118,0.707,0.7122,0.721927,0.716557,-0.004357,-0.608,-0.0052,震荡排列,0.0
159766,20241115,0.712167,0.718667,0.725673,0.716933,0.001734,0.2419,-0.0065,震荡排列,0.0
159766,20241114,0.721,0.726533,0.728545,0.716838,0.009695,1.3525,-0.005533,震荡排列,0.0
159766,20241113,0.732667,0.7362,0.730491,0.716167,0.020033,2.7973,-0.003533,强势多头排列,1.0
159766,20241112,0.739167,0.74,0.728945,0.713638,0.026362,3.694,-0.000833,强势多头排列,1.0
159766,20241111,0.742,0.7382,0.724364,0.709576,0.028624,4.034,0.0038,强势多头排列,1.0
159766,20241108,0.742833,0.7348,0.719491,0.70539,0.02941,4.1693,0.008033,强势多头排列,1.0
159766,20241107,0.735333,0.725467,0.7124,0.70019,0.025277,3.61,0.009866,强势多头排列,1.0
159766,20241106,0.715,0.708933,0.702455,0.693814,0.015119,2.1791,0.006067,中等多头排列,0.6
159766,20241105,0.706833,0.702133,0.698273,0.690476,0.011657,1.6883,0.0047,中等多头排列,0.6
159766,20241104,0.6965,0.695133,0.694382,0.687686,0.007447,1.0829,0.001367,微弱多头排列,0.05
159766,20241101,0.690833,0.692,0.692436,0.68631,0.00569,0.8291,-0.001167,震荡排列,0.0
159766,20241031,0.692,0.693333,0.692473,0.686176,0.007157,1.043,-0.001333,微弱多头排列,0.05
159766,20241030,0.695,0.6944,0.691782,0.685857,0.008543,1.2456,0.0006,中等多头排列,0.6
159766,20241029,0.695,0.693867,0.689491,0.684671,0.009196,1.3431,0.001133,中等多头排列,0.6
159766,20241028,0.6955,0.694267,0.687109,0.683352,0.010915,1.5973,0.001233,中等多头排列,0.6
159766,20241025,0.690667,0.690933,0.682545,0.68061,0.010323,1.5167,-0.000266,中等多头排列,0.6
159766,20241024,0.690167,0.689067,0.679236,0.678214,0.010853,1.6002,0.0011,微弱多头排列,0.05
159766,20241023,0.693333,0.6868,0.677018,0.675905,0.010895,1.6119,0.006533,微弱多头排列,0.05
159766,20241022,0.687,0.6786,0.672636,0.672057,0.006543,0.9736,0.0084,微弱多头排列,0.05
159766,20241021,0.676333,0.6698,0.670236,0.668152,0.001648,0.2467,0.006533,震荡排列,0.0
159766,20241018,0.660667,0.660067,0.669291,0.663843,-0.003776,-0.5688,0.0006,震荡排列,0.0
159766,20241017,0.6535,0.657467,0.672564,0.661143,-0.003676,-0.556,-0.003967,震荡排列,0.0
159766,20241016,0.659333,0.6636,0.679309,0.659967,0.003633,0.5505,-0.004267,震荡排列,0.0
159766,20241015,0.664,0.668733,0.683982,0.657852,0.010881,1.654,-0.004733,震荡排列,0.0
159766,20241014,0.6735,0.680067,0.687691,0.655481,0.024586,3.7508,-0.006567,震荡排列,0.0
159766,20241011,0.677,0.692667,0.687236,0.651481,0.041186,6.3219,-0.015667,强势多头排列,1.0
159766,20241010,0.693667,0.7066,0.685218,0.647162,0.059438,9.1844,-0.012933,强势多头排列,1.0
159766,20241009,0.715167,0.7132,0.678618,0.641033,0.072167,11.2579,0.001967,强势多头排列,1.0
159766,20241008,0.7435,0.718533,0.671764,0.6354,0.083133,13.0836,0.024967,强势多头排列,1.0
159766,20240930,0.718833,0.6898,0.648527,0.622162,0.067638,10.8714,0.029033,强势多头排列,1.0
159766,20240927,0.664667,0.645867,0.620291,0.607214,0.038653,6.3656,0.0188,强势多头排列,1.0
159766,20240926,0.6305,0.617867,0.602709,0.598395,0.019472,3.254,0.012633,强势多头排列,1.0
159766,20240925,0.604833,0.598733,0.591291,0.593138,0.005595,0.9433,0.0061,震荡排列,0.0
159766,20240924,0.5935,0.5896,0.586545,0.591467,-0.001867,-0.3157,0.0039,震荡排列,0.0
159766,20240923,0.583333,0.5818,0.583418,0.590662,-0.008862,-1.5004,0.001533,中等空头排列,-0.6
159766,20240920,0.582667,0.581533,0.584782,0.592052,-0.010519,-1.7767,0.001134,中等空头排列,-0.6
159766,20240919,0.5795,0.5804,0.585945,0.5933,-0.0129,-2.1743,-0.0009,中等空头排列,-0.6
159766,20240918,0.577,0.58,0.587691,0.59479,-0.01479,-2.4866,-0.003,强势空头排列,-1.0
159766,20240913,0.582333,0.585067,0.591945,0.597567,-0.0125,-2.0918,-0.002734,中等空头排列,-0.6
159766,20240912,0.5865,0.589733,0.595727,0.599971,-0.010238,-1.7064,-0.003233,中等空头排列,-0.6
159766,20240911,0.590167,0.594,0.598709,0.601995,-0.007995,-1.3281,-0.003833,中等空头排列,-0.6
159766,20240910,0.5955,0.598733,0.601527,0.603981,-0.005248,-0.8689,-0.003233,温和空头排列,-0.3
159766,20240909,0.6025,0.603533,0.603964,0.605838,-0.002305,-0.3805,-0.001033,微弱空头排列,-0.05
159766,20240906,0.605167,0.605067,0.604691,0.606871,-0.001804,-0.2973,0.0001,震荡排列,0.0
159766,20240905,0.606833,0.606267,0.604927,0.607795,-0.001528,-0.2514,0.000566,震荡排列,0.0
